cuentaimputadaid,cuenta_padre,cuenta,cuentaanalisis,sucursal,centrocosto,debe,haber,deudor,acreedor,activo,pasivo,ingreso,gasto,tipocuentaid
40025943,1106 DEUDORES VARIOS,1106-01 FONDOS RETIRADOS CAJA DIARIA,,,,0,0,0,0,0,0,0,0,1
40025646,1106 DEUDORES VARIOS,1106-02 GARANTÍA POR ARRIENDOS,,,,0,0,0,0,0,0,0,0,1
40025647,1106 DEUDORES VARIOS,1106-03 PAGO ESTILISTAS,,,,0,0,0,0,0,0,0,0,1
40025916,1106 DEUDORES VARIOS,1106-04 ANTICIPO PROVEEDORES,,,,0,0,0,0,0,0,0,0,1
40025648,1106 DEUDORES VARIOS,1106-05 EMPRESAS RELACIONADAS,,,,20000000,0,20000000,0,20000000,0,0,0,1
40026055,1106 DEUDORES VARIOS,1106-06 FONDOS POR COBRAR CLIENTES,,,,0,0,0,0,0,0,0,0,1
40025649,1106 DEUDORES VARIOS,1106-07 PAGO A SALONES,,,,0,0,0,0,0,0,0,0,1
40025924,1106 DEUDORES VARIOS,1106-08 ANTICIPO HONORARIOS,,,,0,0,0,0,0,0,0,0,1
40025950,1106 DEUDORES VARIOS,1106-09 PRESTAMOS TRABAJADORES,,,,0,0,0,0,0,0,0,0,1
40025953,1106 DEUDORES VARIOS,1106-10 FINANCIAMIENTO ESTILISTAS,,,,0,0,0,0,0,0,0,0,1
40025975,1106 DEUDORES VARIOS,1106-11 ANTICIPO REMUNERACIONES,,,,1100000,1100000,0,0,0,0,0,0,1
40025989,1106 DEUDORES VARIOS,1106-12 CTA CTE CAJERO,,,,0,0,0,0,0,0,0,0,1
40025990,1106 DEUDORES VARIOS,1106-13 EMPRESA RELACIONADA PROSERVICES,,,,0,0,0,0,0,0,0,0,1
40025991,1106 DEUDORES VARIOS,1106-14 CTA CAJERO FERTRI 2,,,,0,0,0,0,0,0,0,0,1
40025996,1106 DEUDORES VARIOS,1106-15 ASIGNACION FAMILIAR,,,,22634,24282,0,1648,0,1648,0,0,1
40026057,1106 DEUDORES VARIOS,1106-16 FONDOS POR RENDIR,,,,0,0,0,0,0,0,0,0,1
40026062,1106 DEUDORES VARIOS,1106-17 ANTICIPO REMUNERACIONES,,,,0,0,0,0,0,0,0,0,1
40026068,1106 DEUDORES VARIOS,1106-18 CTAS POR COBRAR RRHH,,,,0,0,0,0,0,0,0,0,1
40026125,1106 DEUDORES VARIOS,1106-19 ASIGNACION FAMILIAR,,,,0,0,0,0,0,0,0,0,1
40026443,1106 DEUDORES VARIOS,1106-20 CTA CTE STTARMAC,,,,0,0,0,0,0,0,0,0,1
40026126,1106 DEUDORES VARIOS,1106-21 CTA.CTE.EERR LAVASECO,,,,0,0,0,0,0,0,0,0,1
40026127,1106 DEUDORES VARIOS,1106-22 CTA.CTE.EERR NOVO,,,,0,0,0,0,0,0,0,0,1
40026128,1106 DEUDORES VARIOS,1106-23 CTA.CTE.EERR TRANSLAV,,,,0,0,0,0,0,0,0,0,1
40026129,1106 DEUDORES VARIOS,1106-24 CTA.CTE.EERR TRANSART,,,,0,0,0,0,0,0,0,0,1
40026143,1106 DEUDORES VARIOS,1106-25 CTA. CTE EERR TINTORERIA,,,,0,0,0,0,0,0,0,0,1
40026154,1106 DEUDORES VARIOS,1106-26 CTA EERR LABOCOCH,,,,0,0,0,0,0,0,0,0,1
40026165,1106 DEUDORES VARIOS,1106-27 CTA. CTE EERR T. LLAY LLAY,,,,0,0,0,0,0,0,0,0,1
40026166,1106 DEUDORES VARIOS,1106-28 CTA. CTE EERR IMB. MYS,,,,0,0,0,0,0,0,0,0,1
40026168,1106 DEUDORES VARIOS,1106-29 CTA. CTE EERR MASSU,,,,0,0,0,0,0,0,0,0,1
40026169,1106 DEUDORES VARIOS,1106-30 CTA. CTE EERR SABA Y SABA,,,,0,0,0,0,0,0,0,0,1
40026175,1106 DEUDORES VARIOS,1106-31 PRESTAMO A TERCEROS POR COBRAR,,,,0,0,0,0,0,0,0,0,1
40026184,1106 DEUDORES VARIOS,1106-32 DEUDORES VARIOS,,,,0,0,0,0,0,0,0,0,1
40026200,1106 DEUDORES VARIOS,1106-33 PRESTAMO POR COBRAR SOCIOS,,,,4000000,0,4000000,0,4000000,0,0,0,1
40026205,1106 DEUDORES VARIOS,1106-34 MAYOR/MENOR VALOR EERR,,,,0,0,0,0,0,0,0,0,1
40026209,1106 DEUDORES VARIOS,1106-35 APORTE CORFO,,,,0,0,0,0,0,0,0,0,1
40026236,1106 DEUDORES VARIOS,1106-36 AGENTE DE ADUANA,,,,0,0,0,0,0,0,0,0,1
40026272,1106 DEUDORES VARIOS,1106-37 CTA PARTICULAR L RONDON,,,,0,0,0,0,0,0,0,0,1
40026273,1106 DEUDORES VARIOS,1106-38 CTA PARTICULAR N VON KOELLER,,,,0,0,0,0,0,0,0,0,1
40026274,1106 DEUDORES VARIOS,1106-39 PRESTAMOS POR COBRAR A SBE,,,,0,0,0,0,0,0,0,0,1
40026275,1106 DEUDORES VARIOS,1106-40 INVERSION EN EMPRESA RELACIONADA,,,,0,0,0,0,0,0,0,0,1
40026329,1106 DEUDORES VARIOS,1106-41 CUENTAS POR COBRAR SBE,,,,0,0,0,0,0,0,0,0,1
40026345,1106 DEUDORES VARIOS,1106-42 CTA CTE AMABOOK,,,,0,0,0,0,0,0,0,0,1
40026346,1106 DEUDORES VARIOS,1106-43 CTA CTE DIGITALBOOKS,,,,0,0,0,0,0,0,0,0,1
40026376,1106 DEUDORES VARIOS,1106-44 DEUDOR PERÚ,,,,0,0,0,0,0,0,0,0,1
40026419,1106 DEUDORES VARIOS,1106-45 CHEQUES POR COBRAR,,,,0,0,0,0,0,0,0,0,1
40026446,1106 DEUDORES VARIOS,1106-46 CTA CTE FRAPADI,,,,0,0,0,0,0,0,0,0,1
40026458,1106 DEUDORES VARIOS,1106-47 MUTUOS POR COBRAR,,,,0,0,0,0,0,0,0,0,1
40026480,1106 DEUDORES VARIOS,1106-48 CTA CTE PROCEED,,,,0,0,0,0,0,0,0,0,1
40026522,1106 DEUDORES VARIOS,1106-49 INSCRIPCION MOTOCICLETAS,,,,0,0,0,0,0,0,0,0,1
