idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
1520,4,Total Pérdidas,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1521,4,Total Pérdidas,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-01-01T00:00:00.000Z,0,2776701,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-02-01T00:00:00.000Z,0,4369656,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-03-01T00:00:00.000Z,0,7311462,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-04-01T00:00:00.000Z,0,12185014,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-05-01T00:00:00.000Z,0,4411117,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-06-01T00:00:00.000Z,0,4586847,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-07-01T00:00:00.000Z,0,3224129,2026-09-24T11:09:23.394Z
40025795,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-03 COMBUSTIBLES Y LUBRICANTES,,2026-08-01T00:00:00.000Z,0,2971676,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-01-01T00:00:00.000Z,0,5895000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-02-01T00:00:00.000Z,0,4785000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-04-01T00:00:00.000Z,0,4455000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-05-01T00:00:00.000Z,0,22995000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-06-01T00:00:00.000Z,0,8810000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-07-01T00:00:00.000Z,0,8805000,2026-09-24T11:09:23.394Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-08-01T00:00:00.000Z,0,9075000,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-01-01T00:00:00.000Z,0,491507,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-02-01T00:00:00.000Z,0,208983,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-03-01T00:00:00.000Z,0,1341163,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-04-01T00:00:00.000Z,0,240000,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-05-01T00:00:00.000Z,0,1880313,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-06-01T00:00:00.000Z,0,180000,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-07-01T00:00:00.000Z,0,180000,2026-09-24T11:09:23.394Z
40025800,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-10 MANTENCION MAQUINARIAS,,2026-08-01T00:00:00.000Z,0,918364,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-01-01T00:00:00.000Z,0,2792683,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-02-01T00:00:00.000Z,0,2710501,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-03-01T00:00:00.000Z,0,2866086,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-04-01T00:00:00.000Z,0,2453409,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-05-01T00:00:00.000Z,0,2948645,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-06-01T00:00:00.000Z,0,2202363,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-07-01T00:00:00.000Z,0,2596767,2026-09-24T11:09:23.394Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-08-01T00:00:00.000Z,0,2658073,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-01-01T00:00:00.000Z,0,170460,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-02-01T00:00:00.000Z,0,40000,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-03-01T00:00:00.000Z,0,139170,2026-09-24T11:09:23.394Z
